tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,"[48.12994305312068, -102.97793764124724]",24-02-2015 10:01,"palo alto, ca",Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,"[47.15399922425275, -120.65222009590268]",24-02-2015 09:42,west covina,Pacific Time (US & Canada)
5.70E+17,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,"[37.61485889482117, -85.67451086141607]",24-02-2015 09:39,this place called NYC,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,thebrandiray,,0,I ❤️ flying @VirginAmerica. ☺️👍,"[44.2539447772056, -71.35516734321686]",24-02-2015 09:15,Somewhere celebrating life. ,Atlantic Time (Canada)
5.70E+17,positive,1,,,Virgin America,,JNLpierce,,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,"[36.50885346170392, -98.12705606416306]",24-02-2015 09:04,Boston | Waltham,Quito
5.70E+17,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,"[34.86995034291141, -109.23918497563514]",24-02-2015 08:55,,
5.70E+17,positive,1,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",24-02-2015 08:49,,
5.70E+17,positive,1,,,Virgin America,,ElvinaBeck,,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,"[33.85000443376639, -105.59438066052316]",24-02-2015 08:30,Los Angeles,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,rjlynch21086,,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,"[30.212796299974684, -93.73930541765544]",24-02-2015 08:27,"Boston, MA ",Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,"[47.402979774991934, -105.26036985188645]",24-02-2015 08:18,714,Mountain Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,"[35.07430004094386, -96.03030237306177]",24-02-2015 07:49,,
5.70E+17,negative,1,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,"[38.677901546089046, -80.52314283642815]",24-02-2015 07:11,,
5.70E+17,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,"[47.877345769346405, -72.40030834959417]",24-02-2015 05:44,"San Francisco, CA",Central Time (US & Canada)
5.70E+17,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",24-02-2015 05:05,"San Mateo, CA & Las Vegas, NV",
5.70E+17,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",23-02-2015 23:34,Brooklyn,Atlantic Time (Canada)
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢","[43.78534382482945, -74.88996822563436]",23-02-2015 22:52,,Vienna
5.70E+17,neutral,1,,,Virgin America,,JCervantezzz,,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,"[47.82911333438148, -105.97832460870885]",23-02-2015 21:35,"California, San Francisco",Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",23-02-2015 21:10,Washington DC,Quito
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(","[46.15979110096056, -96.98371741489998]",23-02-2015 20:55,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",23-02-2015 20:24,Texas,Central Time (US & Canada)
5.70E+17,neutral,0.6207,,,Virgin America,,miaerolinea,,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,"[33.31519365284987, -104.05880454288723]",23-02-2015 18:46,Worldwide,Caracas
5.70E+17,positive,1,,,Virgin America,,Nicsplace,,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,"[37.55455040144984, -93.29206115342588]",23-02-2015 18:43,Central Texas,
5.70E+17,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!","[34.824101095018904, -101.73939736709136]",23-02-2015 18:19,Central Texas,
5.70E+17,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,@VirginAmerica when can I book my flight to Hawaii??,"[47.92510716938046, -107.56818650749902]",23-02-2015 17:54,i'm creating a monster ,Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,"[46.18493657953478, -96.06721681673721]",23-02-2015 17:41,"San Francisco, CA",Pacific Time (US & Canada)
5.70E+17,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr","[39.534845008964126, -74.59021219041011]",23-02-2015 17:32,,
5.70E+17,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?","[47.64817542380031, -123.92687659010224]",23-02-2015 17:00,Iowa City,Central Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,GottAmanda,,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",23-02-2015 16:24,Los Angeles,
5.70E+17,neutral,0.6578,,0,Virgin America,,KGervaise,,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,"[36.35225272675027, -100.60601899068227]",23-02-2015 16:20,Georgia,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,"[48.14799427307307, -86.3031352616992]",23-02-2015 16:13,,
5.70E+17,positive,1,,,Virgin America,,arieldaie,,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,"[24.743919993213257, -79.10273488306558]",23-02-2015 16:08,Los Angeles,
5.70E+17,neutral,0.6799,,,Virgin America,,vacations7,,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,"[25.803928623171842, -119.67861876808193]",23-02-2015 16:04,Turks and caicos,
5.70E+17,positive,1,,,Virgin America,,ChelseaPoe666,,0,@VirginAmerica wow this just blew my mind,"[31.596823487614227, -79.03264921991783]",23-02-2015 16:01,Oakland via Midwest ,Atlantic Time (Canada)
5.70E+17,neutral,1,,,Virgin America,,BobGlavinVO,,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,"[29.59840947521744, -107.0628282960915]",23-02-2015 16:01,"New York, NY",Eastern Time (US & Canada)
5.70E+17,neutral,0.6436,,,Virgin America,,lisaaiko,,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,"[47.43492024543315, -116.85924096943803]",23-02-2015 15:58,,
5.70E+17,neutral,0.6764,,0,Virgin America,,grantbrowne,,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.","[43.239588684159905, -71.92234622624326]",23-02-2015 15:55,Worldwide,Central Time (US & Canada)
5.70E+17,positive,0.657,,,Virgin America,,joyabsalon,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,"[44.92907609670412, -78.46839384176569]",23-02-2015 15:46,Northern Virginia,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,2v,,0,@VirginAmerica wish you flew out of Atlanta... Soon?,"[29.123704624460057, -73.08084348149121]",23-02-2015 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada)
5.70E+17,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,"[25.347005736242828, -111.65716721737647]",23-02-2015 15:24,,Atlantic Time (Canada)
5.70E+17,neutral,1,,,Virgin America,,papamurat,,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,"[46.74413478748899, -105.89270094007841]",23-02-2015 15:19,,
5.70E+17,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,"[41.04547912694995, -88.02371910578306]",23-02-2015 15:05,"new york, new york",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,VinnieFerra,,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,"[32.12165650915532, -104.39512706709534]",23-02-2015 15:04,"brooklyn, Ny",Pacific Time (US & Canada)
5.70E+17,positive,0.635,,,Virgin America,,KevinDemsi,,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,"[30.163159690423367, -99.32316865383933]",23-02-2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur
5.70E+17,neutral,0.7007,,,Virgin America,,giffgaffman,,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,"[26.15987907431747, -70.58058851990072]",23-02-2015 14:40,"UK, USA. ",
5.70E+17,neutral,1,,,Virgin America,,HanlonBrothers,,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,"[25.34834618642144, -74.17469394492127]",23-02-2015 14:37,"Gold Coast, Australia",Brisbane
5.70E+17,neutral,1,,,Virgin America,,emilybg78,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,"[47.373076949392306, -97.9501686045682]",23-02-2015 14:36,"Stockton, CA",Arizona
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,rachie1126,,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,"[30.55428178852454, -121.63364452279423]",23-02-2015 14:35,"New York, NY",Eastern Time (US & Canada)
5.70E+17,neutral,0.6858,,,Virgin America,,adawson66,,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",23-02-2015 14:30,,
5.70E+17,neutral,1,,,Virgin America,,SocialPLC,,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!","[43.81678955474136, -75.90786491577659]",23-02-2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,jeffreymace01,,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,"[46.446838857402156, -92.54382914648264]",23-02-2015 14:25,,
5.70E+17,neutral,0.6814,,0,Virgin America,,1stcrown,,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,"[24.907943014017945, -108.55074320780943]",23-02-2015 14:09,USA,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,onerockgypsy,,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,"[39.0699108794928, -81.0862442128691]",23-02-2015 13:46,next city,Pacific Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.6789,Virgin America,,noelduan,,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?","[39.54074798161292, -115.73867270422309]",23-02-2015 13:35,SF ↔ NY,Eastern Time (US & Canada)
5.70E+17,positive,0.6922,,,Virgin America,,Travelzoo,,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,"[36.12634439138081, -81.65233044531547]",23-02-2015 13:30,"New York, NY",Pacific Time (US & Canada)
5.70E+17,negative,1,Lost Luggage,1,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",23-02-2015 13:08,New York + Panama,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,bxchen,,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,"[37.9741108826677, -93.96210516082172]",23-02-2015 12:47,"San Francisco, CA",Eastern Time (US & Canada)
5.70E+17,neutral,0.6492,,0,Virgin America,,seimatrun,,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,"[40.58228884499807, -94.42519524671127]",23-02-2015 12:00,Los Angeles,
5.70E+17,neutral,1,,,Virgin America,,jamied7,,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?","[44.64546989818098, -70.01855383368783]",23-02-2015 11:56,"London, England",London
5.70E+17,negative,1,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,"[34.97330580271702, -67.1040017388597]",23-02-2015 11:46,Los Angeles,
5.70E+17,positive,1,,,Virgin America,,mrmichaellay,,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",23-02-2015 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,"[39.24337896887541, -107.81363231126362]",23-02-2015 11:28,"Dallas, Texas",Mountain Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,campusmoviefest,,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF","[44.879809336568755, -91.91443508914395]",23-02-2015 11:24,USA,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,"[34.98087879472758, -100.39371210897497]",23-02-2015 11:22,"Dallas, Texas",Mountain Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,meme_meng,,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,"[36.20607807874248, -107.94569209758481]",23-02-2015 11:02,,
5.70E+17,neutral,1,,,Virgin America,,kyle_romanoff,,0,@VirginAmerica what happened to Doom?!,"[47.80556287573612, -123.68662435362572]",23-02-2015 10:58,,
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,GunsNDip,,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,"[45.58718656990911, -93.64484217568553]",23-02-2015 10:56,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,artisticwritr87,,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,"[35.948192999463885, -119.18758842577762]",23-02-2015 10:56,"Seattle, WA",Pacific Time (US & Canada)
5.70E+17,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,"[32.48703115953829, -112.47712527748148]",23-02-2015 10:54,Los Angeles,
5.70E+17,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,"[28.829682305704956, -96.23167555042761]",23-02-2015 10:54,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,"[43.58096061557507, -86.28771874424109]",23-02-2015 10:38,,Pacific Time (US & Canada)
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,,jsatk,,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",23-02-2015 10:29,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
5.70E+17,neutral,0.6705,,0,Virgin America,,serenaklal,,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,"[48.07107156284917, -106.26106555794212]",23-02-2015 10:15,Chicago,Eastern Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,openambit1,,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,"[47.71186071244748, -80.28860530113896]",23-02-2015 10:09,,
5.70E+17,neutral,0.6545,,0,Virgin America,,cabowine,,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,"[34.03075175034479, -69.23726077004602]",23-02-2015 10:04,"Los Cabos,Mexico",Arizona
5.70E+17,negative,1,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,@VirginAmerica Why is the site down?  When will it be back up?,"[40.79301937731054, -68.49149851015699]",23-02-2015 09:57,"New York, NY",Arizona
5.70E+17,neutral,1,,,Virgin America,,RamotControl,,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""","[39.47999584293696, -98.37915671539922]",23-02-2015 09:45,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6639,,0,Virgin America,,losermelon,,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?","[31.877808553250112, -105.43226408956954]",23-02-2015 09:35,,
5.70E+17,negative,1,Cancelled Flight,1,Virgin America,,AlisonK33774854,,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,"[24.883066662055274, -114.07290094365615]",23-02-2015 09:29,,
5.70E+17,negative,1,Late Flight,1,Virgin America,,GunsNDip,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin","[28.87651180651966, -96.02432161847138]",23-02-2015 09:28,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6765,,0,Virgin America,,yazdanagh,,0,@VirginAmerica why is flight 345 redirected?,"[36.657660557000284, -69.9627865337657]",23-02-2015 09:26,,
5.70E+17,negative,1,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.","[34.188811041241124, -105.7674300145524]",23-02-2015 09:25,"Los Angeles, CA",Arizona
5.70E+17,negative,1,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,"[29.116273082928245, -108.94206309432973]",23-02-2015 09:18,"Austin, TX",Mountain Time (US & Canada)
5.70E+17,negative,1,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,"[41.195999956153614, -114.23198850645602]",23-02-2015 09:11,,
5.70E+17,negative,1,Flight Booking Problems,0.6714,Virgin America,,mattbunk,,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,"[32.36116894018289, -116.6150806747535]",23-02-2015 08:29,"Sterling Heights, MI",Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,louisjenny,,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,"[28.21804700650843, -81.78616230484596]",23-02-2015 08:19,Washington DC,Quito
5.70E+17,neutral,1,,,Virgin America,,STravelsW,,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,"[41.624272545449614, -107.93438146855017]",23-02-2015 08:19,"Manhattan Beach, CA",
5.70E+17,negative,1,Late Flight,0.6882,Virgin America,,GunsNDip,,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,"[26.8951621093566, -89.03143159580517]",23-02-2015 08:11,,Pacific Time (US & Canada)
5.70E+17,neutral,1,,,Virgin America,,joeyrenagade,,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,"[42.86176190086101, -78.35636354494164]",23-02-2015 08:08,Greater Los Angeles,
5.70E+17,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",23-02-2015 08:08,Floridian from Cincinnati ,Eastern Time (US & Canada)
5.70E+17,negative,1,Late Flight,0.3486,Virgin America,,GunsNDip,,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,"[29.338071885719497, -98.65094259634176]",23-02-2015 07:51,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,Virgin America,,TheDuchessSF,,0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying","[47.76157835509852, -102.49795537305778]",23-02-2015 07:50,Online,Pacific Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Virgin America,,BeLeather,,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",23-02-2015 07:40,,Pacific Time (US & Canada)
5.70E+17,negative,1,Flight Booking Problems,0.6366,Virgin America,,BeLeather,,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,"[0.0, 0.0]",23-02-2015 07:40,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",23-02-2015 07:28,"Dallas, TX",
5.70E+17,positive,0.6823,,0,Virgin America,,flyfromWAS,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare","[43.058280569737455, -98.21721872111287]",23-02-2015 06:57,"Washington, DC",Eastern Time (US & Canada)
